bare_word	source_type_id	source_id	permanent_id
образование	2	1255	526638
мальчишка	2	1258	950777
продукт	2	1263	333179
пистолет	2	1264	566969
родина	2	1267	480517
личность	2	1269	870176
скорость	2	1274	285041
участок	2	1275	756112
текст	2	1279	505555
зверь	2	1280	414219
артист	2	1287	347580
автомобиль	2	1289	946576
участие	2	1290	202232
кот	2	1291	258711
мост	2	1292	626234
здоровье	2	1295	705699
костёр	2	1296	692673
человечество	2	1298	155308
пуля	2	1299	342762
сомнение	2	1300	289454
отсутствие	2	1302	250456
мясо	2	1305	140854
читатель	2	1310	562948
доска	2	1311	519278
убийство	2	1312	413566
мгновение	2	1315	456123
восток	2	1316	184007
настроение	2	1320	647105
пауза	2	1324	169241
приём	2	1325	219740
порог	2	1326	295904
фон	2	1327	127985
пропасть	2	1332	293839
песок	2	1335	440042
долг	2	1336	441802
предложение	2	1340	554133
работник	2	1342	612881
сожаление	2	1348	731396
горло	2	1353	944122
ресторан	2	1355	607752
список	2	1356	275206
праздник	2	1358	652128
покой	2	1360	871143
шутка	2	1361	761543
автобус	2	1362	918750
рада	2	1363	869624
вариант	2	1365	994827
дыхание	2	1367	937354
организм	2	1369	513119
жертва	2	1373	478777
начальство	2	1375	832631
рукав	2	1377	282100
занятие	2	1378	724571
охрана	2	1381	427219
масло	2	1384	525958
кость	2	1387	526108
пиво	2	1390	801242
чиновник	2	1395	372796
эхо	2	1396	709997
потолок	2	1399	671802
лёгкое	2	1400	404715
руководство	2	1401	987053
защита	2	1402	730339
энергия	2	1405	762314
звонок	2	1406	308817
сигарета	2	1408	245001
кошка	2	1412	464381
зона	2	1414	267655
диван	2	1415	469417
предел	2	1418	497643
пятнадцать	2	1425	889303
постель	2	1429	571386
тайна	2	1430	181381
туман	2	1432	532374
книжка	2	1435	769315
воспоминание	2	1437	117269
Ленинград	2	1439	512826
существование	2	1443	710111
королева	2	1445	455165
вход	2	1447	940190
церковь	2	1448	186588
преступление	2	1449	745152
музей	2	1450	452355
планета	2	1451	452707
опасность	2	1452	879320
поиск	2	1461	373073
палатка	2	1462	495324
источник	2	1466	316542
основание	2	1468	815406
родственник	2	1470	998665
осень	2	1477	782490
представление	2	1478	936113
способность	2	1479	388270
понятие	2	1480	430840
тон	2	1481	587374
аппарат	2	1483	772712
водитель	2	1484	857808
крыло	2	1489	960132
изменение	2	1490	556939
беседа	2	1491	880141
пост	2	1492	920118
вывод	2	1493	385049
комиссия	2	1494	139878
множество	2	1496	127157
явление	2	1497	598759
красота	2	1501	184042
мороз	2	1503	143348
дача	2	1504	471472
пастух	2	1506	301489
дон	2	1510	903866
остальное	2	1512	400234
площадка	2	1515	418178
усилие	2	1517	431898
приятель	2	1518	269240
ручка	2	1520	110380
столик	2	1523	572778
журналист	2	1524	489070
выстрел	2	1526	940993
озеро	2	1527	518999
сумка	2	1530	597995
кино	2	1531	425837
должность	2	1532	248312
зло	2	1533	126516
позиция	2	1534	621785
удивление	2	1538	379935
следователь	2	1539	526351
ученик	2	1540	492298
основа	2	1543	356783
горе	2	1544	723442
рождение	2	1547	442446
песня	2	1548	293254
полок	2	1550	792899
старшина	2	1552	731442
колесо	2	1553	177408
шофёр	2	1555	846025
проект	2	1556	184864
совесть	2	1557	817388
суть	2	1560	112718
режим	2	1561	234286
стен	2	1563	544867
чемодан	2	1564	571152
платье	2	1565	936643
хозяйство	2	1567	770167
полиция	2	1568	263434
пункт	2	1569	853496
ствол	2	1570	710601
толк	2	1571	467153
вкус	2	1572	410872
добро	2	1575	635526
портрет	2	1576	699184
полк	2	1578	502047
кофе	2	1579	283377
отделение	2	1580	248980
подать	2	1581	520425
обстановка	2	1582	466846
пятно	2	1583	927568
бровь	2	1585	326418
телевизор	2	1586	475574
база	2	1589	962778
тревога	2	1592	450509
помещение	2	1594	647473
урок	2	1597	924200
поведение	2	1599	605899
создание	2	1600	695730
собрание	2	1601	282785
дедушка	2	1602	513945
безопасность	2	1603	400356
функция	2	1606	578991
нарушение	2	1607	397582
экран	2	1609	936741
шапка	2	1611	931672
полоса	2	1614	809177
хозяйка	2	1615	572617
штаны	2	1616	669390
грязь	2	1618	600051
заявление	2	1620	971485
труп	2	1623	387929
подарок	2	1626	122967
рубашка	2	1627	802786
август	2	1628	842541
объект	2	1631	437104
университет	2	1634	550943
охота	2	1635	458567
штука	2	1636	697782
муха	2	1637	347653
молоко	2	1642	221547
буква	2	1648	973484
вершина	2	1650	521172
поверхность	2	1651	478803
товар	2	1657	892899
лапа	2	1659	600792
гостиница	2	1662	437120
середина	2	1666	563419
бригада	2	1670	919603
признак	2	1673	483259
среда	2	1674	295525
политика	2	1675	660422
капля	2	1676	341372
вес	2	1677	434892
комитет	2	1679	174821
плащ	2	1681	961540
поток	2	1683	342681
холод	2	1694	112119
Париж	2	1695	742734
записка	2	1700	812811
появление	2	1701	792929
платок	2	1702	120094
корпус	2	1708	623153
сведение	2	1713	284227
забор	2	1716	522243
октябрь	2	1717	540143
строй	2	1718	669054
морда	2	1719	162884
краска	2	1723	914864
кружок	2	1726	415247
могила	2	1728	367296
облако	2	1730	489691
шкаф	2	1731	424006
милиционер	2	1733	779527
сумма	2	1734	405813
сеть	2	1736	321955
грех	2	1737	668436
ожидание	2	1739	252068
необходимость	2	1740	821794
инспектор	2	1741	347958
сообщение	2	1742	171977
стенка	2	1743	202007
подъезд	2	1744	111929
парк	2	1747	370878
вокзал	2	1749	188630
борт	2	1756	279183
взрыв	2	1761	783806
расстояние	2	1764	173956
локоть	2	1765	713169
актёр	2	1766	762291
ус	2	1767	872016
куртка	2	1769	652221
луна	2	1775	164988
скала	2	1776	573849
экономика	2	1777	112982
песнь	2	1782	111967
шинель	2	1788	807183
лёд	2	1789	569219
волк	2	1790	185425
структура	2	1791	440261
сержант	2	1792	405169
клетка	2	1795	857676
поколение	2	1796	944080
газ	2	1797	635998
пила	2	1799	317526
файл	2	1800	605753
орудие	2	1802	990906
коллега	2	1803	462931
просьба	2	1805	650008
выбор	2	1807	260270
куча	2	1809	372842
корень	2	1810	696235
содержание	2	1812	446095
разница	2	1813	573662
остаток	2	1815	300796
расчёт	2	1816	735814
температура	2	1822	956885
республика	2	1823	999640
пояс	2	1824	615280
шёпот	2	1827	761613
сентябрь	2	1828	592290
дивизия	2	1829	564625
гриб	2	1830	210720
сравнение	2	1831	811691
бабка	2	1834	856752
реакция	2	1837	689888
тоска	2	1838	636371
посёлок	2	1839	342164
кольцо	2	1841	288318
достоинство	2	1842	891178
слой	2	1847	978164
страсть	2	1850	647561
напряжение	2	1852	432796
коммунист	2	1855	681817
участник	2	1857	791087
подруга	2	1858	621940
изба	2	1859	558888
голод	2	1860	389273
пёс	2	1863	822523
заместитель	2	1864	235948
истина	2	1865	804631
колонна	2	1866	480476
оборона	2	1869	687938
элемент	2	1875	510875
пиджак	2	1876	240118
крыльцо	2	1880	148024
отличие	2	1881	473316
брюки	2	1882	702634
исследование	2	1883	639970
орден	2	1884	998221
техника	2	1887	970657
канал	2	1889	374501
девчонка	2	1890	836284
крест	2	1892	747524
теория	2	1894	763987
луч	2	1895	227107
молчание	2	1896	386933
батарея	2	1898	842502
устройство	2	1899	257386
палка	2	1900	227591
фонарь	2	1902	900011
контроль	2	1905	702138
ветка	2	1912	468847
влияние	2	1913	145599
разведка	2	1914	479760
справа	2	1915	250203
польза	2	1917	619427
дочка	2	1918	973970
надпись	2	1919	976168
обезьяна	2	1922	734401
склад	2	1925	388302
север	2	1927	245191
печать	2	1929	480577
крестьянин	2	1930	238551
пальто	2	1932	259447
любопытство	2	1933	905972
тарелка	2	1934	738608
следствие	2	1935	621473
ракета	2	1944	266883
зарплата	2	1947	278294
топор	2	1948	754421
убийца	2	1949	238417
сущность	2	1951	999211
домик	2	1955	514124
запись	2	1957	558919
пожар	2	1958	266654
пачка	2	1959	164377
ага	2	1960	529050
свидетель	2	1964	724964
пища	2	1966	398232
забота	2	1967	792691
открытие	2	1970	538745
девица	2	1971	193980
вождь	2	1974	383596
одеяло	2	1975	874602
храм	2	1976	260344
пассажир	2	1980	105828
строительство	2	1981	457352
поездка	2	1982	755425
рана	2	1983	962976
верёвка	2	1984	836348
погода	2	1985	974840
двести	2	1986	268073
паспорт	2	1988	839821
привычка	2	1989	450043
холм	2	1990	742975
шоссе	2	1997	935749
поворот	2	1999	891844
восторг	2	2000	744347
мечта	2	2001	105268
кабина	2	2002	378352
картошка	2	2003	154697
Израиль	2	2008	360340
борода	2	2009	730239
запас	2	2012	718851
тайга	2	2016	784231
молодец	2	2017	480874
пресса	2	2018	125871
подробность	2	2022	603085
талант	2	2023	679335
особенность	2	2027	590519
дружба	2	2030	157697
памятник	2	2031	329615
помощник	2	2032	965389
шляпа	2	2033	371613
произведение	2	2035	166457
подготовка	2	2036	466333
вызов	2	2037	817430
батальон	2	2044	583189
смена	2	2047	935063
потеря	2	2048	919570
сигнал	2	2052	706423
затылок	2	2054	325896
мотор	2	2055	727243
обида	2	2057	358440
профессия	2	2058	251406
юноша	2	2060	939024
юг	2	2061	133859
доля	2	2063	635822
воин	2	2064	518276
медведь	2	2065	128189
ведро	2	2066	966544
сказка	2	2068	111028
цк	2	2069	803493
полёт	2	2072	163406
пулемёт	2	2073	937340
железо	2	2074	325067
механизм	2	2077	803594
тьма	2	2078	973579
новость	2	2080	704806
строка	2	2082	648925
сфера	2	2085	892635
комиссар	2	2086	962723
малыш	2	2089	905093
повесть	2	2090	642187
поражение	2	2093	951504
цифра	2	2094	500432
компьютер	2	2095	777262
угроза	2	2097	735436
исключение	2	2098	368626
бумажка	2	2099	153757
договор	2	2101	123665
башня	2	2102	221653
секрет	2	2103	515292
лампа	2	2104	886084
ремень	2	2105	693907
глупость	2	2107	365066
библиотека	2	2109	875498
ботинок	2	2110	231393
ткань	2	2113	845916
халат	2	2114	681804
океан	2	2118	352787
деталь	2	2120	742968
молодёжь	2	2121	907550
радио	2	2122	503865
лидер	2	2125	780171
корова	2	2128	482334
преступник	2	2129	334061
итог	2	2131	867896
задание	2	2134	599301
заседание	2	2136	142401
папка	2	2137	225216
Франция	2	2138	925930
депутат	2	2140	522713
молодость	2	2143	103602
норма	2	2147	876389
гном	2	2149	944115
цепь	2	2154	973038
метода	2	2155	291113
ответственность	2	2156	704299
жар	2	2159	488938
пакет	2	2162	163491
уважение	2	2163	506802
контакт	2	2164	578882
пот	2	2165	587680
подвал	2	2166	456459
ужин	2	2167	667089
переход	2	2168	302099
бег	2	2171	535502
американец	2	2173	383801
традиция	2	2174	301528
привет	2	2175	258131
столб	2	2176	976821
услуга	2	2177	232145
шеф	2	2179	695940
вещество	2	2182	949010
баня	2	2183	145981
снаряд	2	2185	646261
вор	2	2186	339129
разведчик	2	2188	885885
редактор	2	2191	850499
бандит	2	2192	868527
подушка	2	2194	841424
грузовик	2	2198	815671
раствор	2	2200	147161
яма	2	2201	920021
министерство	2	2204	680376
модель	2	2207	189956
инструмент	2	2210	149479
золото	2	2211	925749
стрелок	2	2215	738770
жест	2	2216	544385
ноябрь	2	2218	515211
эпоха	2	2221	372118
отдых	2	2224	294088
передача	2	2227	790583
шар	2	2232	701804
звание	2	2233	882461
обязанность	2	2235	744658
волнение	2	2236	633066
щель	2	2237	207951
акция	2	2238	173429
узел	2	2239	418592
гроб	2	2240	802604
редакция	2	2245	246292
распоряжение	2	2248	304821
май	2	2249	846127
поддержка	2	2250	380199
дверца	2	2252	956832
Чечня	2	2256	276832
марка	2	2257	931806
разрешение	2	2259	672578
император	2	2260	270129
листок	2	2261	608556
двигатель	2	2264	919746
присутствие	2	2265	312131
лев	2	2270	440630
возвращение	2	2272	560431
коробка	2	2274	907410
печка	2	2276	961410
поступок	2	2280	671516
симптом	2	2282	924271
кладбище	2	2287	572311
комплекс	2	2288	705421
шанс	2	2291	684042
ложка	2	2292	914057
старушка	2	2293	757358
наблюдение	2	2295	788364
декабрь	2	2297	154424
палата	2	2298	784235
судья	2	2300	918716
порт	2	2303	510465
винтовка	2	2304	645372
горизонт	2	2305	526852
портфель	2	2309	202229
спутник	2	2317	566775
июнь	2	2318	717739
требование	2	2319	502076
ценность	2	2321	783390
гений	2	2329	572125
пламя	2	2330	164225
стиль	2	2331	985470
лук	2	2333	837126
госпиталь	2	2334	833320
агент	2	2335	689114
костя	2	2338	707424
коньяк	2	2339	431088
публика	2	2340	429455
князь	2	2342	476872
ненависть	2	2343	543390
собственность	2	2345	902446
март	2	2347	119090
дар	2	2349	761895
моряк	2	2350	869859
перо	2	2358	511416
колхоз	2	2359	951382
владелец	2	2360	910398
концерт	2	2361	105563
знакомство	2	2364	914015
слабость	2	2365	929246
рыбак	2	2369	257530
яйцо	2	2370	932373
отель	2	2373	878632
лаборатория	2	2375	456243
степь	2	2377	878766
объяснение	2	2380	217026
туча	2	2381	567404
взвод	2	2385	790314
огород	2	2387	239934
клиент	2	2388	553020
константин	2	2392	906705
мелочь	2	2393	369054
склон	2	2394	505623
верх	2	2395	434788
пушок	2	2396	259848
тётка	2	2397	110886
лётчик	2	2398	775564
лекарство	2	2401	728449
гвоздь	2	2405	279142
ружьё	2	2410	704186
кандидат	2	2412	473882
разум	2	2413	293557
благо	2	2416	434838
назначение	2	2417	178165
нерв	2	2422	780001
администрация	2	2423	745591
бельё	2	2425	330848
подбородок	2	2426	375477
этап	2	2427	288924
бомба	2	2428	569967
политик	2	2432	885943
карьера	2	2434	171269
действительность	2	2439	971069
заяц	2	2440	552593
дума	2	2441	789706
метро	2	2443	516149
городок	2	2452	114983
экзамен	2	2455	164545
гибель	2	2456	142424
кнопка	2	2458	177439
ангел	2	2461	969352
огонёк	2	2462	114986
доклад	2	2463	329047
дрова	2	2464	768068
последствие	2	2465	523140
сволочь	2	2467	540490
роза	2	2469	191417
яблоко	2	2471	289793
кадр	2	2472	647389
дорожка	2	2474	306589
губернатор	2	2475	991586
тяжесть	2	2476	598372
частность	2	2478	981457
пенсия	2	2483	315245
